Generation,Best,Worst,Average
148,33,8,20.5625
149,32,9,19.291666666666668
150,35,4,21.416666666666668
151,36,8,21.333333333333332
152,32,7,20.645833333333332
153,35,11,22.645833333333332
154,32,8,19.833333333333332
155,36,9,20.729166666666668
156,36,9,22.6875
157,31,8,20.916666666666668
158,42,8,22.666666666666668
159,31,9,20.604166666666668
160,39,5,21.0
161,37,10,20.8125
162,37,8,21.75
163,34,10,20.8125
164,37,8,21.8125
165,30,9,20.666666666666668
166,33,7,20.583333333333332
167,32,9,21.479166666666668
168,31,7,21.729166666666668
169,39,11,22.333333333333332
170,41,7,21.583333333333332
171,41,8,22.229166666666668
172,39,8,21.229166666666668
173,37,10,21.708333333333332
174,41,11,23.604166666666668
175,40,7,22.791666666666668
176,40,7,20.625
177,37,6,21.791666666666668
178,38,10,23.104166666666668
179,50,7,22.895833333333332
180,38,5,24.3125
181,41,6,22.9375
182,37,8,23.5625
183,41,8,25.541666666666668
184,43,11,26.125
185,40,6,25.791666666666668
186,49,10,26.833333333333332
187,43,11,26.375
188,43,10,25.75
189,42,5,26.520833333333332
190,40,8,26.833333333333332
191,43,6,26.291666666666668
192,40,9,26.208333333333332
193,42,4,28.3125
194,43,7,28.0625
195,46,6,28.1875
196,41,9,28.125
197,47,12,27.145833333333332
198,41,16,26.833333333333332
199,46,17,30.229166666666668
200,41,5,24.583333333333332
201,41,8,27.520833333333332
202,42,8,29.145833333333332
203,43,11,26.166666666666668
204,44,11,28.520833333333332
205,44,0,29.104166666666668
206,42,7,25.75
207,43,13,28.291666666666668
208,46,8,28.395833333333332
209,41,9,28.979166666666668
210,44,15,28.833333333333332
211,43,5,28.3125
212,39,7,28.5625
213,44,6,29.854166666666668
214,39,8,27.208333333333332
215,43,8,29.625
216,43,17,28.916666666666668
217,42,6,28.5
218,41,16,30.75
219,43,13,30.791666666666668
220,42,9,30.041666666666668
221,42,4,30.729166666666668
222,48,9,29.9375
223,47,7,29.645833333333332
224,44,12,31.208333333333332
225,50,10,29.875
226,46,9,30.541666666666668
