Generation,Best,Worst,Average
808,42,23,33.6875
809,40,24,33.4375
810,39,20,31.25
811,39,25,32.4375
812,43,28,32.875
813,41,22,31.1875
814,43,22,33.875
815,41,26,34.0625
816,40,26,33.75
817,42,11,31.75
818,42,18,31.3125
819,43,19,34.6875
820,43,15,32.0625
821,42,9,31.0
822,43,21,33.125
823,46,28,35.625
824,41,23,31.6875
825,40,26,32.8125
826,37,21,32.375
827,43,9,30.625
828,38,16,30.8125
829,39,20,30.75
830,39,21,31.0625
831,38,23,32.1875
832,39,24,32.9375
833,43,23,32.125
834,41,24,34.0625
835,40,27,33.6875
836,45,26,32.4375
837,42,19,32.0
838,43,26,32.3125
839,41,26,32.375
840,42,22,32.9375
841,36,9,30.5
842,40,28,33.0
843,43,24,31.75
844,42,22,31.6875
845,42,32,36.0
846,42,27,33.75
847,42,19,34.8125
848,39,23,31.6875
849,41,8,27.875
850,42,27,34.0625
851,47,23,33.875
852,40,24,34.0625
853,38,15,30.0625
854,40,15,27.625
855,41,24,31.875
856,47,21,31.1875
857,43,13,31.9375
858,41,27,33.5625
859,38,20,32.5625
860,37,9,30.1875
861,39,8,31.3125
862,42,24,32.0625
863,38,20,31.1875
864,34,18,29.9375
865,44,24,32.9375
866,40,26,34.1875
867,42,20,32.125
868,42,24,34.25
869,41,16,30.8125
870,50,15,33.625
871,41,14,33.0625
872,40,14,31.3125
873,40,20,33.4375
874,39,26,32.8125
875,42,23,32.9375
876,39,24,31.75
877,41,26,33.6875
878,40,25,31.25
879,39,18,30.9375
880,40,26,32.9375
881,38,27,32.9375
882,44,20,33.0
883,41,13,32.25
884,37,22,30.9375
885,40,21,31.4375
886,40,19,32.125
887,40,20,31.9375
888,43,20,33.75
889,44,20,32.3125
890,39,25,31.6875
891,39,18,30.625
892,41,26,33.125
893,41,19,33.0625
894,38,16,28.125
895,40,7,30.5625
896,41,16,31.6875
897,43,19,32.5
898,39,22,30.75
899,43,17,32.75
900,43,18,33.125
901,44,21,31.8125
902,42,27,32.625
903,44,22,34.0625
904,41,29,32.3125
905,44,18,31.6875
906,41,26,32.8125
907,41,17,31.25
908,38,28,32.8125
909,39,26,31.625
910,38,19,33.125
911,35,12,30.0
912,40,17,31.25
913,39,18,32.5
914,40,26,33.875
915,40,15,31.8125
916,45,22,32.375
917,43,22,32.625
918,40,20,31.625
919,41,8,29.3125
920,39,9,29.625
921,42,19,30.75
922,43,25,34.8125
923,39,22,33.0
924,40,18,32.25
925,41,11,30.625
926,40,24,33.6875
927,42,7,30.875
928,40,17,28.5625
929,42,28,33.25
930,38,18,29.375
931,40,21,33.875
932,45,17,33.125
933,40,29,33.6875
934,42,23,33.8125
935,41,22,33.9375
936,40,6,27.125
937,45,16,30.5625
938,38,16,30.0
939,38,24,33.0
940,42,11,28.875
941,42,7,31.875
942,44,28,33.5
943,45,22,33.375
944,36,19,31.9375
945,41,25,34.1875
946,46,13,32.625
947,44,21,33.875
948,41,27,34.1875
949,40,23,30.25
950,43,7,29.875
951,40,8,30.5
952,44,7,28.375
953,41,23,32.4375
954,46,20,32.0625
955,40,10,32.8125
956,39,9,29.25
957,39,20,33.5
958,39,8,31.8125
959,42,24,34.3125
960,46,12,30.9375
961,41,9,32.1875
962,45,14,31.9375
963,38,11,29.9375
964,41,13,30.5625
965,45,18,33.625
966,41,28,33.8125
967,43,11,31.1875
968,41,22,33.9375
969,44,17,31.6875
970,42,19,30.8125
971,44,19,31.0625
972,37,17,29.8125
973,46,23,34.1875
974,38,23,31.375
975,40,19,29.9375
976,40,21,30.4375
977,43,28,35.0
978,43,8,29.75
979,40,24,32.5
980,45,10,33.0625
981,42,11,31.3125
982,40,24,32.4375
983,44,19,31.375
984,43,8,30.4375
985,37,14,27.3125
986,43,18,32.0
987,39,15,28.3125
988,38,16,31.75
989,43,13,30.5625
990,38,19,30.0625
991,49,18,33.75
992,44,20,31.75
993,37,23,31.5
994,44,22,32.125
995,38,19,30.8125
996,39,9,26.375
997,40,22,32.5
998,36,12,30.0625
999,37,10,30.6875
1000,37,23,31.3125
1001,47,19,34.625
1002,43,23,32.9375
1003,38,21,31.375
1004,39,18,31.125
1005,39,16,28.25
1006,38,20,31.3125
1007,38,21,30.5625
1008,43,21,33.0
1009,41,18,30.75
1010,35,13,27.875
1011,46,17,30.9375
1012,38,14,28.1875
1013,38,6,30.6875
1014,45,7,29.0
1015,44,21,32.0625
1016,39,24,33.6875
1017,40,15,29.6875
1018,48,20,32.1875
1019,43,25,31.6875
1020,39,22,32.375
1021,34,25,30.625
1022,44,18,31.9375
1023,50,18,31.75
1024,37,16,29.4375
1025,38,19,31.0
1026,39,29,33.8125
1027,40,18,30.3125
1028,41,20,28.75
1029,40,14,27.25
1030,37,10,27.3125
1031,45,14,30.375
1032,40,18,29.25
1033,36,14,27.875
1034,38,11,26.625
1035,39,14,26.6875
1036,36,17,29.1875
1037,41,16,30.125
1038,42,9,29.625
1039,41,19,29.3125
1040,40,18,32.75
1041,42,20,31.5625
1042,40,11,27.125
1043,40,19,28.6875
1044,38,25,32.75
1045,39,11,28.25
1046,46,11,31.625
1047,33,9,26.0625
1048,43,19,30.5625
1049,41,22,31.9375
1050,41,26,33.6875
1051,41,20,33.1875
1052,38,17,30.25
1053,38,15,30.5
1054,39,29,34.0625
1055,39,18,32.4375
1056,44,26,35.1875
1057,39,27,32.1875
1058,41,6,30.0625
1059,44,12,31.8125
1060,45,5,31.6875
1061,39,18,31.9375
1062,38,26,32.0625
1063,43,21,33.0
1064,42,17,33.875
1065,38,25,30.9375
1066,41,24,31.5625
1067,41,17,31.625
1068,44,22,32.125
1069,39,22,32.0625
1070,39,28,33.1875
1071,37,11,30.125
1072,44,20,31.75
1073,40,20,30.6875
1074,42,7,32.0625
1075,45,14,32.125
1076,47,23,34.0625
1077,39,21,32.3125
1078,43,20,33.4375
1079,41,19,29.4375
1080,40,5,30.3125
1081,40,17,31.125
1082,39,8,30.8125
1083,41,20,33.5
1084,41,15,31.375
1085,40,6,30.5625
1086,43,11,32.5625
1087,41,19,30.0
1088,42,9,29.9375
1089,44,24,33.6875
1090,46,8,31.625
1091,40,20,31.75
1092,40,18,30.375
1093,45,15,30.75
1094,39,29,33.125
1095,41,23,34.4375
1096,42,21,32.875
1097,41,20,31.875
1098,45,9,31.625
1099,42,23,33.75
1100,40,19,30.6875
1101,40,20,31.4375
1102,41,17,31.875
1103,43,18,32.8125
1104,41,18,30.5625
1105,46,21,32.0625
1106,41,22,32.0
1107,42,16,32.4375
1108,50,26,33.375
1109,42,14,30.6875
1110,40,24,31.6875
1111,39,20,32.25
1112,42,28,33.8125
1113,41,16,33.5625
1114,40,24,32.4375
1115,44,21,33.5
1116,37,27,33.125
1117,41,29,34.6875
1118,41,28,33.9375
1119,39,21,31.8125
1120,41,12,31.125
1121,46,17,32.125
1122,38,9,30.4375
1123,38,11,29.125
1124,43,22,31.9375
1125,40,23,31.5625
1126,39,25,32.5625
1127,42,18,32.75
1128,41,28,34.875
1129,38,21,31.5625
1130,38,23,31.1875
1131,42,15,30.5625
1132,41,20,32.75
1133,43,28,35.5625
1134,41,11,28.5625
1135,44,21,34.1875
1136,41,25,33.75
1137,42,24,32.9375
1138,46,21,32.6875
1139,38,12,31.1875
1140,44,17,32.1875
1141,40,25,33.3125
1142,42,22,34.5
1143,41,22,33.1875
1144,40,17,31.875
1145,39,17,31.25
1146,41,25,31.375
1147,47,19,32.625
1148,38,26,33.375
1149,44,24,32.8125
1150,43,22,31.5
1151,39,29,32.5625
1152,41,20,30.875
1153,42,14,31.375
1154,48,16,34.4375
1155,44,20,30.0
1156,44,17,29.5
1157,42,23,32.0
1158,47,25,33.5
1159,43,19,33.5625
1160,39,17,31.1875
1161,43,25,33.5625
1162,41,23,32.4375
1163,44,25,32.625
1164,42,17,31.625
1165,47,24,34.6875
1166,39,15,31.6875
1167,44,26,34.0
1168,45,17,32.1875
1169,39,20,31.125
1170,40,17,32.0625
1171,46,25,33.25
1172,38,25,32.0
1173,42,25,34.875
1174,41,11,30.375
1175,43,23,33.5625
1176,41,23,33.4375
1177,44,21,31.75
1178,38,14,27.6875
1179,44,25,34.8125
1180,45,7,30.875
1181,40,26,33.875
1182,44,25,33.5
1183,38,31,34.1875
1184,43,27,32.9375
1185,41,21,32.8125
1186,39,18,31.875
1187,41,22,32.0625
1188,40,22,33.0625
1189,43,21,31.25
1190,43,16,31.625
1191,41,15,30.8125
1192,42,19,31.6875
1193,40,18,30.75
1194,42,27,33.375
1195,41,21,33.25
1196,40,19,31.625
1197,39,24,33.0625
1198,47,23,34.4375
1199,40,24,33.375
1200,42,16,31.8125
1201,43,26,35.625
1202,42,18,31.9375
1203,39,25,32.0625
1204,41,26,32.25
1205,42,23,31.875
1206,38,26,32.5625
1207,41,7,30.25
1208,40,25,32.5
1209,45,14,29.125
1210,39,18,30.6875
1211,44,23,32.0
1212,38,27,32.6875
1213,40,24,35.75
1214,40,21,32.5
1215,45,22,32.5
1216,41,20,31.25
1217,37,17,28.8125
1218,44,17,34.8125
1219,39,18,30.9375
1220,40,18,28.1875
1221,40,24,33.8125
1222,40,24,29.6875
1223,41,15,32.8125
1224,46,21,30.9375
1225,37,16,31.0
1226,42,16,29.75
1227,46,15,31.0625
1228,39,19,32.3125
1229,42,22,30.125
1230,37,15,28.4375
1231,42,9,33.1875
1232,41,10,30.5625
1233,50,26,32.625
1234,44,20,34.8125
1235,44,21,31.1875
